time_h,lower,upper,width
0.0,0.9999999999999996,1.0000000000000004,8.881784197001252e-16
5.0,0.996993535607321,0.9975090407049695,0.0005155050976485276
10.0,0.99398973382295,0.995020148450853,0.0010304146279029869
15.0,0.9909886647729336,0.9925333588758566,0.0015446941029230166
20.0,0.9879903976355711,0.9900487072212074,0.002058309585636353
25.0,0.9849950006506011,0.9875662283342596,0.0025712276836584724
30.0,0.9820025411283095,0.9850859566715732,0.0030834155432636345
35.0,0.9790130854585529,0.9826079263019778,0.0035948408434248735
40.0,0.9760266991197089,0.9801321709096105,0.004105471789901616
45.0,0.9730434466875446,0.9776587237969339,0.004615277109389249
50.0,0.9700633918440099,0.9751876178877322,0.005124226043722313
55.0,0.9670865973859537,0.9727188857300904,0.005632288344136649
60.0,0.9641131252337629,0.9702525594993467,0.006139434265583832
65.0,0.9611430364399276,0.9677886710010276,0.006645634561100011
70.0,0.9581763911975295,0.9653272516737643,0.0071508604762348105
75.0,0.9552132488486589,0.962868332592183,0.007655083743524083
80.0,0.9522536678927558,0.9604119444697813,0.008158276577025503
85.0,0.9492977059948795,0.9579581176617812,0.00866041166690168
90.0,0.9463454199939034,0.9555068821679605,0.009161462174057111
95.0,0.9433968659106426,0.9530582676354707,0.0096614017248281
100.0,0.9404520989559059,0.950612303361627,0.010160204405721185
105.0,0.9375111735384785,0.9481690182966847,0.010657844758206192
110.0,0.9345741432730372,0.9457284410465936,0.011154297773556365
115.0,0.9316410609879935,0.9432905998757337,0.01164953888774023
120.0,0.9287119787332674,0.9408555227096326,0.01214354397636519
125.0,0.925786947787997,0.9384232371376617,0.012636289349664764
130.0,0.9228660186681756,0.9359937704157155,0.013127751747539884
135.0,0.9199492411342243,0.9335671494688713,0.013617908334647044
140.0,0.9170366641984983,0.9311434008940291,0.014106736695530864
145.0,0.9141283361327267,0.9287225509625366,0.014594214829809937
150.0,0.911224304475386,0.9263046256227907,0.015080321147404652
155.0,0.9083246160390106,0.9238896505028246,0.015565034463813965
160.0,0.905429316917437,0.9214776509128756,0.01604833399543859
165.0,0.9025384524929857,0.9190686518479323,0.016530199354946595
170.0,0.8996520674435801,0.9166626779902711,0.017010610546691063
175.0,0.8967702057497988,0.9142597537119637,0.017489547962164842
180.0,0.8938929107018733,0.9118599030773786,0.017966992375505364
185.0,0.8910202249066164,0.9094631498456562,0.018442924939039873
190.0,0.888152190294293,0.9070695174731703,0.018917327178877286
195.0,0.8852888481254313,0.904679029115974,0.019390180990542683
200.0,0.8824302389975706,0.9022917076322226,0.01986146863465199
205.0,0.8795764028519518,0.8999075755845858,0.020331172732633962
210.0,0.8767273789801495,0.8975266552426387,0.02079927626248923
215.0,0.8738832060306423,0.8951489685852368,0.02126576255459456
220.0,0.8710439220153279,0.8927745373028755,0.021730615287547606
225.0,0.8682095643159791,0.8904033828000308,0.022193818484051775
230.0,0.8653801696906429,0.8880355261974877,0.022655356506844804
235.0,0.8625557742799843,0.8856709883346432,0.023115214054658884
240.0,0.8597364136135708,0.8833097897718056,0.02357337615823485
245.0,0.8569221226161026,0.8809519507924675,0.024029828176364898
250.0,0.8541129356135905,0.878597491405564,0.024484555791973506
255.0,0.8513088863394744,0.8762464313477214,0.024937545008246964
260.0,0.8485100079406889,0.8738987900854827,0.025388782144793787
265.0,0.8457163329836765,0.8715545868175195,0.025838253833842972
270.0,0.8429278934603461,0.8692138404768317,0.026285947016485567
275.0,0.8401447207939783,0.8668765697329255,0.0267318489389472
280.0,0.8373668458450797,0.8645427929939814,0.027175947148901702
285.0,0.8345942989171816,0.862212528409003,0.027618229491821356
290.0,0.831827109762592,0.8598857938699527,0.028058684107360676
295.0,0.829065307588092,0.8575626070138723,0.028497299425780276
300.0,0.8263089210605836,0.8552429852249865,0.028934064164402917
305.0,0.823557978312687,0.8529269456367928,0.029368967324105877
310.0,0.8208125069482862,0.8506145051341377,0.029801998185851497
315.0,0.8180725340480283,0.8483056803552756,0.030233146307247383
320.0,0.8153380861747702,0.8460004876939153,0.03066240151914512
325.0,0.8126091893789793,0.8436989433012484,0.031089753922269092
330.0,0.8098858692040831,0.8414010630879702,0.03151519388388713
335.0,0.8071681506917754,0.8391068627262774,0.03193871203450205
340.0,0.8044560583872691,0.8368163576518586,0.0323602992645895
345.0,0.8017496163445067,0.834529563065866,0.03277994672135931
350.0,0.799048848131322,0.8322464939368759,0.033197645805553844
355.0,0.7963537768345561,0.829967165002834,0.03361338816827786
360.0,0.7936644250651269,0.8276915907729869,0.03402716570786002
365.0,0.7909808149630537,0.8254197855298,0.034438970566746274
370.0,0.7883029682024362,0.8231517633308607,0.03484879512842454
375.0,0.7856309059963891,0.8208875380107697,0.03525663201438067
380.0,0.7829646491019324,0.8186271231830176,0.03566247408108514
385.0,0.7803042178248363,0.8163705322418473,0.036066314417011025
390.0,0.7776496320244257,0.8141177783641056,0.036468146339679874
395.0,0.7750009111183372,0.8118688745110787,0.036867963392741454
400.0,0.7723580740872367,0.8096238334303166,0.03726575934307996
405.0,0.7697211394794927,0.8073826676574428,0.0376615281779501
410.0,0.7670901254158073,0.8051453895179519,0.03805526410214455
415.0,0.764465049593807,0.8029120111289951,0.03844696153518812
420.0,0.76184592929259,0.8006825444011509,0.03883661510856096
425.0,0.7592327813772332,0.7984570010401836,0.03922421966295042
430.0,0.7566256223032604,0.7962353925487913,0.03960977024553092
435.0,0.7540244681210648,0.7940177302283383,0.0399932621072735
440.0,0.751429334480298,0.7918040251805765,0.04037469070027844
445.0,0.7488402366342146,0.7895942883093546,0.04075405167514001
450.0,0.7462571894439785,0.7873885303223145,0.04113134087833603
455.0,0.7436802073829317,0.785186761732576,0.04150655434964423
460.0,0.7411093045408225,0.7829889928604077,0.04187968831958522
465.0,0.7385444946279949,0.7807952338348878,0.04225073920689293
470.0,0.735985790979543,0.778605494595553,0.042619703616009974
475.0,0.7334332065594238,0.7764197848940331,0.04298657833460928
480.0,0.7308867539645347,0.7742381142956759,0.043351360331141175
485.0,0.7283464454287548,0.7720604921811607,0.043714046752405866
490.0,0.7258122928269453,0.7698869277480974,0.044074634921152156
495.0,0.7232843076789188,0.7677174300126173,0.04443312233369845
500.0,0.7207625011533689,0.7655520078109497,0.04478950665758075
505.0,0.7182468840717637,0.7633906698009898,0.04514378572922606
510.0,0.7157374669122057,0.7612334244638517,0.04549595755164593
515.0,0.7132342598132562,0.7590802801054135,0.04584602029215734
520.0,0.7107372725777226,0.7569312448578489,0.04619397228012634
525.0,0.7082465146764128,0.7547863266811505,0.04653981200473778
530.0,0.705761995251855,0.7526455333646365,0.04688353811278145
535.0,0.7032837231219846,0.7505088725284532,0.0472251494064686
540.0,0.7008117067837926,0.7483763516250618,0.04756464484126921
545.0,0.6983459544169472,0.7462479779407172,0.04790202352376993
550.0,0.6958864738873763,0.7441237585969325,0.04823728470955613
555.0,0.6934332727508219,0.7420037005519382,0.04857042780111631
560.0,0.6909863582563569,0.7398878106021247,0.048901452345767815
565.0,0.6885457373498736,0.7377760953834797,0.04923035803360609
570.0,0.6861114166775382,0.7356685613730103,0.04955714469547212
575.0,0.6836834025892139,0.7335652148901596,0.04988181230094568
580.0,0.6812617011418518,0.7314660620982079,0.05020436095635605
585.0,0.6788463181028517,0.7293711090056685,0.05052479090281681
590.0,0.676437258953391,0.7272803614676686,0.050843102514277594
595.0,0.6740345288917218,0.7251938251873246,0.051159296295602785
600.0,0.6716381328364412,0.723111505717104,0.05147337288066278
